WVS_question_id,WVS_question,annotator,annotation_value_relationship,textual_premise,value_hypothesis,resonance_label,resonance_coded
Q1, Important in life: Family,0,direct_restatement,It is so important to have family.,Family are very important in life.,resonates,2
Q2, Important in life: Friends,0,direct_restatement,Friends are such a central part of life.,Friends are very important in life.,resonates,2
Q3, Important in life: Leisure time,0,direct_restatement,Leisure time matters a lot.,Leisure time is very important in life.,resonates,2
Q4, Important in life: Politics,0,direct_restatement,It is crucial to stay engaged in politics.,Politics  are very important in life.,resonates,2
Q5, Important in life: Work,0,direct_restatement,Work is such an important aspect of life.,Work is very important in life.,resonates,2
Q6, Important in life: Religion,0,direct_restatement,So much of life is about religion.,Religion is very important in life.,resonates,2
Q7, Important child qualities: good manners,0,direct_restatement,Good manners are essential in children.,It is very important for children to have good manners.,resonates,2
Q8, Important child qualities: independence,0,direct_restatement,Independence is valuable in a child.,It is very important for children to be independent.,resonates,2
Q9, Important child qualities: hard work,0,direct_restatement,Children must work hard.,It is very important for children to be hard workers.,resonates,2
Q10, Important child qualities: feeling of responsibility,0,direct_restatement,Children need to behave responsibly.,It is very important for children to have a sense of responsibility.,resonates,2
Q11, Important child qualities: imagination,0,direct_restatement,Imagination is so important in a child.,It is very important for children to be imaginative.,resonates,2
Q12, Important child qualities: tolerance and respect for other people,0,direct_restatement,Children have to get along with others and be respectful.,It is very important for children to be tolerant and respect others.,resonates,2
Q13, Important child qualities: thrift saving money and things,0,direct_restatement,Children should never waste their money.,It is very important for children to be thrifty in saving money and other economic pursuits.,resonates,2
Q14, Important child qualities: determination perseverance,0,direct_restatement,The most important thing for a child to learn is to never give up.,Determination and perseverance are very important qualities in children.,resonates,2
Q15, Important child qualities: religious faith,0,direct_restatement,A child needs to pray and practice good faith.,It is very important for children to possess religious faith. ,resonates,2
Q16, Important child qualities: unselfishness,0,direct_restatement,A selfish child is a terrible child.,It is very important for children to be unselfish. ,resonates,2
Q17, Important child qualities: obedience,0,direct_restatement,Children need to obey their parents.,It is very important for children to be obedient.,resonates,2
Q18, Neighbors: Drug addicts,0,direct_restatement,Drug addicts make terrible neighbors.,I would hate to have drug addicts as neighbors.,resonates,2
Q19, Neighbors: People of a different race,0,direct_restatement,It would be awful to have a family of another race living next door.,I would hate to have people of a different race as neighbors.,resonates,2
Q20, Neighbors: People who have AIDS,0,direct_restatement,No one wants to live next to someone with AIDS.,I would hate to have neighbors with AIDS.,resonates,2
Q21, Neighbors: Immigrants/foreign workers,0,direct_restatement,Immigrants and foreign workers are neighbors I would not want.,I would hate to have immigrants or foreign workers as neighbors.,resonates,2
Q22, Neighbors: Homosexuals,0,direct_restatement,It would be bad to live next to homosexuals.,I would hate to have homosexuals as neighbors.,resonates,2
Q23, Neighbors: People of a different religion,0,direct_restatement,I much prefer to live next to people from my same religion.,I would hate to have people who practice a different religion than I do as neighbors.,resonates,2
Q24, Neighbors: Heavy drinkers,0,direct_restatement,Alcoholics make very bad neighbors.,I would hate to have heavy drinkers as neighbors.,resonates,2
Q25, Neighbors: Unmarried couples living together,0,direct_restatement,Unwed couples are not people I want living nearby.,I would hate to have unmarried couples living together as neighbors.,resonates,2
Q26, Neighbors: People who speak a different language,0,direct_restatement,I do not want to live next to people that don't speak my language.,I would hate to have people who speak a different language than I do as neighbors.,resonates,2
Q27, One of main goals in life has been to make my parents proud,0,direct_restatement,"To me, the most important thing is to make my family proud.",One of my main goals in life has been to make my parents proud.,resonates,2
Q28, Pre-school child suffers with working mother,0,direct_restatement,Mothers should not work when they have a child in pre-school.,Pre-school children suffer from having a working mother.,resonates,2
Q29, Men make better political leaders than women do,0,direct_restatement,Women are just not as good at politics as men.,Men make better political leaders than women do.,resonates,2
Q30, University is more important for a boy than for a girl,0,direct_restatement,Attending university is not as important for girls as for boys.,University is more important for a boy than it is for a girl.,resonates,2
Q31, Men make better business executives than women do,0,direct_restatement,The best business leaders are men.,Men make better business executives than women do.,resonates,2
Q32, Being a housewife just as fulfilling,0,direct_restatement,Women can get plenty of satisfaction from being a housewife. ,Being a housewife just as fulfilling as working.,resonates,2
Q33, Jobs scarce: Men should have more right to a job than women,0,direct_restatement,Men should be given priority when jobs are not abundant.,"Under employment scarcity, men should have more right to a job than women.",resonates,2
Q34, Jobs scarce: Employers should give priority to (nation) people than immigrants,0,direct_restatement,Immigrants should not be given a job ahead of anyone else when times are hard.,"Under employment scarcity, employers should give priority to the nation's people over immigrants.",resonates,2
Q35, Problem if women have more income than husband,0,direct_restatement,For a woman to make more than her husband is an embarrassment.,It is wrong if women have more income than their husband.,resonates,2
Q36, Homosexual couples are as good parents as other couples,0,direct_restatement,There is nothing wrong with a child having homosexual parents.,Homosexual couples make equally good parents as other couples.,resonates,2
Q37, Duty towards society to have children,0,direct_restatement,A person owes it to society to procreate.,It is an individual's duty towards society to have children.,resonates,2
Q38, It is children duty to take care of ill parent,0,direct_restatement,Children have a responsibility to care for their parents when they are sick.,It is a child's duty to take care of their ill parents.,resonates,2
Q39, People who don´t work turn lazy,0,direct_restatement,Work keeps people from becoming lazy.,People who don't work turn lazy.,resonates,2
Q40, Work is a duty towards society,0,direct_restatement,Working is a person's responsibility to us all.,Work is one's duty towards society.,resonates,2
Q41, Work should  always come first even if it means less spare time,0,direct_restatement,Spare time is a luxury that is less important than work.,Work should always come first even if it means less spare time.,resonates,2
Q43, Future changes: Less importance placed on work,0,direct_restatement,Working is less important than people believe.,"In the future, I would like to see less importance placed on work.",resonates,2
Q44, Future changes: More emphasis on technology,0,direct_restatement,Technological ability is going to be more and more important.,"In the future, I would like to see a greater emphasis on technological advancement.",resonates,2
Q45, Future changes: Greater respect for authority,0,direct_restatement,I hope people start to show authority figures more respect.,"In the future, people should show greater respect for authority. ",resonates,2
Q46, Feeling of happiness,0,direct_restatement,I am happy with my life.,"In general, I feel very happy.",resonates,2
Q47, State of health (subjective),0,direct_restatement,My health is in good condition.,I am in very good health.,resonates,2
Q48, How much freedom of choice and control,0,direct_restatement,I make my own decisions in life.,I have a great deal of freedom of choice and control in my life.,resonates,2
Q49, Satisfaction with your life,0,direct_restatement,I find deep satisfaction in my life.,I am thoroughly satisfied with my life.,resonates,2
Q50, Satisfaction with financial situation of household,0,direct_restatement,I am very happy with our household's finances.,I am thoroughly satisfied with the financial situation of my household.,resonates,2
Q51, Frequency you/family (last 12 month): Gone without enough food to eat,0,direct_restatement,"In the last year, my family has sometimes not had enough to eat.",My family and I have frequently gone without enough food to eat over the past year.,resonates,2
Q52, Frequency you/family (last 12 month): Felt unsafe from crime in your own home,0,direct_restatement,"In the past year, it has been common for my family and I to feel unsafe from crime in our own home.","Over the past year, my family and I have frequently felt unsafe from crime in our own home.",resonates,2
Q53, Frequency you/family (last 12 month): Gone without needed medicine or treatment that you needed,0,direct_restatement,It is not uncommon in the past year that my family and I lack medicine or medical treatment.,My family and I have frequently gone without proper medicine or medical treatment over the past year.,resonates,2
Q54, Frequency you/family (last 12 month): Gone without a cash income,0,direct_restatement,There have been many times in the past year that my family has not had cash income.,Over the past year my family and I have frequently gone without a cash income.,resonates,2
Q55," In the last 12 month, how often have you or your family: Gone without a safe shelter over your head",0,direct_restatement,It has been common in the past year for my family and I to go without safe shelter.,In the past 12 months my family and I have frequently had to go without safe shelter over our heads.,resonates,2
Q56, Standard of living comparing with your parents,0,direct_restatement,My parents had a significantly lower standard of living than I do.,I have a much higher standard of living than my parents did.,resonates,2
Q57, Most people can be trusted,0,direct_restatement,The majority of people are trustworthy.,Most people can be trusted.,resonates,2
Q58, Trust: Your family,0,direct_restatement,I can trust my family.,I trust my family.,resonates,2
Q59, Trust: Your neighborhood,0,direct_restatement,I find my neighbors can be trusted.,I trust my neighborhood.,resonates,2
Q60, Trust: People you know personally,0,direct_restatement,I have found the people I know personally to be trustworthy.,I trust the people I know personally.,resonates,2
Q61, Trust: People you meet for the first time,0,direct_restatement,I do not find it hard to trust people the first time I meet them.,I trust people when I meet them for the first time.,resonates,2
Q62, Trust: People of another religion,0,direct_restatement,I do not distrust people from different religions.,I trust people of another religion than me.,resonates,2
Q63, Trust: People of another nationality,0,direct_restatement,I find it easy to trust people of other nationalities.,I trust people of a different nationality than me.,resonates,2
Q64, Confidence: Churches,0,direct_restatement,I have a lot of confidence in churches.,I have high confidence in churches.,resonates,2
Q65, Confidence: Armed Forces,0,direct_restatement,I am very confident in the ability of the armed forces.,I have high confidence in the armed forces.,resonates,2
Q66, Confidence: The Press,0,direct_restatement,My confidence in the press is strong.,I have high confidence in the press.,resonates,2
Q67, Confidence: Television,0,direct_restatement,I am very confident about what I see on television.,I have high confidence in television.,resonates,2
Q68, Confidence: Labor Unions,0,direct_restatement,I have a high level of confidence in the unions.,I have high confidence in labor unions.,resonates,2
Q69, Confidence: The Police,0,direct_restatement,I am very confident in the police force.,I have high confidence in the police.,resonates,2
Q70, Confidence: Justice System/Courts,0,direct_restatement,My confidence in the justice system and courts is strong.,I have high confidence in courts and the justice system.,resonates,2
Q71, Confidence: The Government,0,direct_restatement,My confidence in the government is high.,I have high confidence in the government.,resonates,2
Q72, Confidence: The Political Parties,0,direct_restatement,I have a high degree of confidence in this country's political parties.,I have high confidence in my nation's political parties.,resonates,2
Q73, Confidence: Parliament,0,direct_restatement,I am very confident in parliament.,I have high confidence in parliament.,resonates,2
Q74, Confidence: The Civil Services,0,direct_restatement,My confidence in the civil service is unshaken.,I have high confidence in the civil services.,resonates,2
Q75, Confidence: Universities,0,direct_restatement,The universities are something I am confident in.,I have high confidence in universities.,resonates,2
Q76, Confidence: Elections,0,direct_restatement,I find it easy to have confidence in the elections.,I have high confidence in elections.,resonates,2
Q77, Confidence: Major Companies,0,direct_restatement,Major companies are easy to have confidence in.,I have high confidence in major companies.,resonates,2
Q78, Confidence: Banks,0,direct_restatement,I have very good confidence in the banks.,I have high confidence in banks.,resonates,2
Q79, Confidence: The Environmental Protection Movement,0,direct_restatement,I have a high degree of confidence in the environmental movement.,I have high confidence in the environmental protection movement.,resonates,2
Q80, Confidence: The Women´s Movement,0,direct_restatement,I am confident in the women's movement.,I have high confidence in the Women's Movement.,resonates,2
Q81, Confidence: Charitable or humanitarian organizations,0,direct_restatement,I am very confident in charities.,I have high confidence in charitable and humanitarian organizations.,resonates,2
